title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 73.2 м² · 8/9 этаж,45 000 000〒,"Ауэзовский р-н, мкр Таугуль, Мустай-Карим 12/14 — Сайна-Жандосова",2-комнатная квартира,73.2 м²,8,9,Нет,Нет
2-комнатная квартира · 71.5 м² · 4/10 этаж,42 500 000〒,"Ауэзовский р-н, мкр Сайран, Толе би — Утеген батыр",2-комнатная квартира,71.5 м²,4,10,Нет,Да
2-комнатная квартира · 60 м² · 5/12 этаж,60 500 000〒,"Ауэзовский р-н, мкр Таугуль, Сулейменова 24а",2-комнатная квартира,60 м²,5,12,Нет,Да
2-комнатная квартира · 69 м² · 8/12 этаж,67 000 000〒,"Ауэзовский р-н, мкр Мамыр, Саина 13а",2-комнатная квартира,69 м²,8,12,Нет,Да
3-комнатная квартира · 67.2 м² · 10/12 этаж,52 000 000〒,"Ауэзовский р-н, мкр Таугуль-1 76 — Ауэзовский",3-комнатная квартира,67.2 м²,10,12,Нет,Нет
4-комнатная квартира · 84 м² · 2/5 этаж,47 500 000〒,"Ауэзовский р-н, мкр Аксай-3А, Мкр Аксай 3А — Ул Толе би - Ул Яссауи",4-комнатная квартира,84 м²,2,5,Нет,Нет
3-комнатная квартира · 107.7 м² · 9/12 этаж,62 600 000〒,"Ауэзовский р-н, Толе би 298/1 — Отеген батыра",3-комнатная квартира,107.7 м²,9,12,Нет,Да
3-комнатная квартира · 90.2 м² · 9/10 этаж,65 000 000〒,"Ауэзовский р-н, мкр №6 36б — Саина-Шаляпина",3-комнатная квартира,90.2 м²,9,10,Нет,Нет
3-комнатная квартира · 59 м² · 2/4 этаж,39 000 000〒,"Ауэзовский р-н, мкр №2 12",3-комнатная квартира,59 м²,2,4,Нет,Нет
2-комнатная квартира · 46.9 м² · 16/17 этаж,35 000 000〒,"Ауэзовский р-н, Жандосова 144/1",2-комнатная квартира,46.9 м²,16,17,Нет,Да
3-комнатная квартира · 63.4 м² · 3/5 этаж,41 000 000〒,"Ауэзовский р-н, мкр Мамыр, Афцинао — Шаляпина-Яссауи",3-комнатная квартира,63.4 м²,3,5,Нет,Нет
3-комнатная квартира · 58 м² · 1/4 этаж,35 500 000〒,"Ауэзовский р-н, мкр №10 А — По Шаляпина между Берегового и Саина",3-комнатная квартира,58 м²,1,4,Нет,Нет
3-комнатная квартира · 89 м² · 6/9 этаж,68 000 000〒,"Ауэзовский р-н, мкр Мамыр, Афцинао — Шаляпина - Яссауи",3-комнатная квартира,89 м²,6,9,Нет,Да
2-комнатная квартира · 75.4 м² · 9/15 этаж,43 000 000〒,"Ауэзовский р-н, мкр Жетысу-3 52 — За магнумом",2-комнатная квартира,75.4 м²,9,15,Нет,Нет
5-комнатная квартира · 168 м² · 5/6 этаж,104 000 000〒,"Ауэзовский р-н, мкр Жетысу-4 13 — Абая - Момышулы",5-комнатная квартира,168 м²,5,6,Нет,Нет
3-комнатная квартира · 77.5 м² · 8/9 этаж,52 000 000〒,"Ауэзовский р-н, Толе би 285 к11, 285/8 к12, 285/8 к13, 285/8 к14, 285/8 к15, 285/8 к16, 285/8 к17",3-комнатная квартира,77.5 м²,8,9,Нет,Нет
