title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
3-комнатная квартира · 107.7 м² · 11/20 этаж,106 000 000〒,"Бостандыкский р-н, Аль-Фараби 7 — ул Козыбаева",3-комнатная квартира,107.7 м²,11,20,Нет,Да
3-комнатная квартира · 117 м² · 5/8 этаж,115 000 000〒,"Бостандыкский р-н, мкр Ерменсай, Арайлы 12",3-комнатная квартира,117 м²,5,8,Нет,Да
2-комнатная квартира · 67 м² · 1/3 этаж,94 999 999〒,"Бостандыкский р-н, мкр Баганашыл, Рахмадиева 6",2-комнатная квартира,67 м²,1,3,Нет,Да
1-комнатная квартира · 51.6 м² · 10/21 этаж,39 999 990〒,"Бостандыкский р-н, Солодовникова — Сатпаева-Гагарина",1-комнатная квартира,51.6 м²,10,21,Нет,Да
2-комнатная квартира · 44 м² · 1/4 этаж,28 500 000〒,"Бостандыкский р-н, Радостовца — Радостовца-Солодовникова",2-комнатная квартира,44 м²,1,4,Нет,Нет
3-комнатная квартира · 90 м² · 8/12 этаж,67 000 000〒,"Бостандыкский р-н, Торайгырова 21/1 — Между Мустафина и Саина",3-комнатная квартира,90 м²,8,12,Нет,Да
3-комнатная квартира · 128.6 м² · 4/16 этаж,115 000 000〒,"Бостандыкский р-н, Сатпаева 9б — Сатпаева / Сейфуллина",3-комнатная квартира,128.6 м²,4,16,Нет,Да
2-комнатная квартира · 61.5 м² · 5/16 этаж,69 490 000〒,"Бостандыкский р-н, Розыбакиева 197/2 — Розыбакиева - Ескараева",2-комнатная квартира,61.5 м²,5,16,Нет,Да
4-комнатная квартира · 170 м² · 8/8 этаж,125 000 000〒,"Бостандыкский р-н, Арайлы 12 — Ремизовка",4-комнатная квартира,170 м²,8,8,Нет,Да
3-комнатная квартира · 59 м² · 7/13 этаж,63 000 000〒,"Бостандыкский р-н, Гагарина 194",3-комнатная квартира,59 м²,7,13,Нет,Да
4-комнатная квартира · 128 м² · 10/16 этаж,135 000 000〒,"Бостандыкский р-н, Мусрепова 22 — Сатпаева",4-комнатная квартира,128 м²,10,16,Нет,Да
2-комнатная квартира · 41 м² · 2/4 этаж,29 500 000〒,"Бостандыкский р-н, Бухар Жырау — Жарокова",2-комнатная квартира,41 м²,2,4,Нет,Нет
2-комнатная квартира · 50 м² · 7/13 этаж,55 000 000〒,"Бостандыкский р-н, Жандосова 94А",2-комнатная квартира,50 м²,7,13,Нет,Да
4-комнатная квартира · 76 м² · 1/19 этаж,66 000 000〒,"Бостандыкский р-н, Абая 164 — Брусиловского",4-комнатная квартира,76 м²,1,19,Нет,Да
3-комнатная квартира · 94 м² · 13/17 этаж,91 000 000〒,"Бостандыкский р-н, Розыбакиева 237",3-комнатная квартира,94 м²,13,17,Нет,Да
