title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
1-комнатная квартира · 20 м² · 3/3 этаж,15 000 000〒,"Жетысуский р-н, Желтоксан 24 — Райымбека",1-комнатная квартира,20 м²,3,3,Нет,Нет
1-комнатная квартира · 36 м² · 6/6 этаж,18 500 000〒,"Жетысуский р-н, мкр Кокжиек 52",1-комнатная квартира,36 м²,6,6,Нет,Нет
2-комнатная квартира · 66 м² · 6/6 этаж,25 000 000〒,"Жетысуский р-н, мкр Кокжиек",2-комнатная квартира,66 м²,6,6,Нет,Нет
3-комнатная квартира · 60.5 м² · 3/3 этаж,24 500 000〒,"Жетысуский р-н, мкр Кокжиек, Талант 34 — КамАЗ Центр",3-комнатная квартира,60.5 м²,3,3,Нет,Нет
1-комнатная квартира · 48 м² · 3/9 этаж,26 500 000〒,"Жетысуский р-н, мкр Кулагер 5",1-комнатная квартира,48 м²,3,9,Нет,Нет
4-комнатная квартира · 106 м² · 8/8 этаж,43 000 000〒,"Жетысуский р-н, мкр Айнабулак-2 — Макатаева - Палладина",4-комнатная квартира,106 м²,8,8,Нет,Нет
1-комнатная квартира · 40.4 м² · 3/12 этаж,26 000 000〒,"Жетысуский р-н, Райымбека — Гончарова",1-комнатная квартира,40.4 м²,3,12,Нет,Да
2-комнатная квартира · 51.2 м² · 3/12 этаж,30 000 000〒,"Жетысуский р-н, Райымбека — Гончарова",2-комнатная квартира,51.2 м²,3,12,Нет,Да
2-комнатная квартира · 70 м² · 6/9 этаж,42 000 000〒,"Жетысуский р-н, мкр Кулагер 35",2-комнатная квартира,70 м²,6,9,Нет,Нет
1-комнатная квартира · 20.8 м² · 3/5 этаж,11 000 000〒,"Жетысуский р-н, мкр Кокжиек 22а",1-комнатная квартира,20.8 м²,3,5,Нет,Нет
3-комнатная квартира · 67 м² · 4/5 этаж,38 000 000〒,"Жетысуский р-н, мкр Айнабулак-3 106 — Макатаева",3-комнатная квартира,67 м²,4,5,Нет,Нет
1-комнатная квартира · 45.4 м² · 1/3 этаж,25 500 000〒,"Жетысуский р-н, мкр Дорожник 25",1-комнатная квартира,45.4 м²,1,3,Нет,Нет
3-комнатная квартира · 73 м² · 3/5 этаж,37 000 000〒,"Жетысуский р-н, Кулагер",3-комнатная квартира,73 м²,3,5,Нет,Нет
2-комнатная квартира · 71.2 м² · 1/9 этаж,24 600 000〒,"Жетысуский р-н, мкр Кокжиек 40 — Новая ЖК Көк Жиек,напротив штраф стоянки",2-комнатная квартира,71.2 м²,1,9,Нет,Да
2-комнатная квартира · 64 м² · 5/6 этаж,30 000 000〒,"Жетысуский р-н, мкр Кокжиек 33",2-комнатная квартира,64 м²,5,6,Нет,Нет
2-комнатная квартира · 60 м² · 5/5 этаж,38 000 000〒,"Жетысуский р-н, мкр Айнабулак-3 143",2-комнатная квартира,60 м²,5,5,Нет,Нет
